ID StudentId IndeksId IspitId BrojPrijavaIspita Ocena
87 1 6 1 4 9
88 1 9 5 3 7
89 4 9 7 5 5
90 1 5 3 3 10
91 4 1 2 2 10
92 4 4 4 5 10
93 1 9 7 1 7
94 4 1 3 2 8
95 6 4 6 2 10
96 7 9 7 1 10
97 3 3 9 1 8
98 2 5 7 4 7
99 6 6 9 5 9
100 8 9 2 1 10
101 5 6 2 5 8
102 1 8 5 1 8
103 9 7 8 3 5
104 4 9 3 4 9
105 4 2 3 5 10
106 6 1 8 5 10
107 4 6 6 4 6
108 1 9 2 5 6
109 4 4 4 3 7
110 6 5 7 2 8
111 2 7 8 3 7
112 4 2 5 2 6
113 7 7 1 3 6
114 5 2 4 5 8
115 9 3 3 2 5
116 4 2 5 4 6
117 2 7 1 4 10
118 3 9 7 3 8
119 8 1 4 1 9
120 8 4 7 3 6
121 1 8 7 5 5
122 5 2 4 1 9
123 9 5 6 2 6
124 8 8 9 1 9
125 4 8 1 4 9
126 9 9 1 5 5
127 7 7 2 3 8
128 1 7 6 5 9
129 1 6 6 5 10
130 8 1 7 5 10
131 8 2 2 3 9
132 1 1 5 3 7
133 6 7 1 5 7
134 4 5 2 2 10
135 2 7 1 4 6
136 3 4 2 2 8
137 9 8 7 3 8
138 3 5 3 4 5
139 3 7 2 2 7
140 2 6 1 1 5
141 2 6 9 1 5
142 1 5 2 1 10
143 5 3 1 1 5
144 8 9 6 5 6
145 7 4 1 1 8
146 5 6 6 5 6
147 6 7 1 3 10
148 3 3 6 1 9
149 9 5 4 1 7
150 4 2 9 2 6
151 6 5 9 3 8
152 9 6 5 5 9
153 3 3 7 3 5
154 6 3 6 4 5
155 2 3 7 1 6
156 3 3 4 1 10
157 6 9 1 1 10
158 4 9 7 3 7
159 2 7 1 4 10
160 4 2 2 2 8
161 2 4 4 1 7
162 3 7 3 4 9
163 9 7 7 3 7
164 4 5 9 4 5
165 5 6 2 4 7
166 1 3 9 1 5
167 8 5 5 3 7
168 1 8 3 1 6
169 1 3 7 5 9
170 6 7 4 1 6
171 9 5 5 5 7
172 7 4 9 3 6
173 6 4 3 3 10
174 8 2 8 2 6
175 9 8 8 2 10
176 1 5 3 3 7
177 3 5 5 2 5
178 2 9 8 5 10
179 4 5 6 1 7
180 1 3 7 4 5
181 1 9 5 2 10
182 3 9 5 5 6
183 8 3 2 4 5
184 4 5 5 4 5
185 4 6 2 2 7
186 7 4 3 2 9
187 4 2 8 5 10
188 9 9 2 4 6
189 3 3 3 2 5
190 6 1 7 3 8
191 6 6 9 5 6
192 4 9 8 5 8
193 3 6 2 1 9
194 3 7 4 1 8
195 8 8 5 4 7
196 1 4 9 1 10
197 5 1 6 2 7
198 7 7 3 1 10
199 8 7 5 3 9
200 3 4 6 3 10
201 3 8 1 2 10
202 7 4 3 4 7
203 4 2 6 4 7
204 8 9 1 1 10
205 7 1 4 5 7
206 8 8 2 5 8
207 4 9 6 4 8
208 6 1 5 5 5
209 9 1 7 3 7
210 9 1 1 5 6
211 1 9 8 1 10
212 8 2 9 3 8
213 3 8 8 1 5
214 4 1 7 3 7
215 1 3 3 4 7
216 4 3 3 2 5
217 8 4 4 4 10
218 1 3 6 4 6
219 6 2 2 1 6
220 2 5 1 2 7
221 4 8 2 5 9
222 8 5 5 1 7
223 9 5 3 5 10
224 4 3 5 4 6
225 6 2 9 4 10
226 4 7 7 4 6
227 4 1 6 3 9
228 1 2 9 3 8
229 6 8 7 4 10
230 2 6 2 1 7
231 9 2 9 5 7
232 4 6 9 4 10
233 4 3 3 1 9
234 1 5 7 2 5
235 2 9 1 4 10
236 7 1 1 5 5
237 6 9 9 4 10
238 9 2 6 4 8
239 6 3 2 2 6
240 4 5 1 4 7
241 1 2 5 1 7
242 3 7 8 5 10
243 2 5 6 4 8
244 9 2 2 1 6
245 2 1 9 4 9
246 3 4 7 4 7
247 9 9 4 4 5
248 2 1 9 5 8
249 4 8 7 1 7
250 1 6 5 2 9
251 4 9 3 4 8
252 2 4 3 1 6
253 5 1 9 2 6
254 6 2 3 4 8
255 6 6 8 5 7
256 4 5 9 4 10
257 8 9 6 3 7
258 1 8 5 3 10
259 2 7 1 3 9
260 5 1 8 4 8
261 3 4 6 5 9
262 3 3 9 5 10
263 2 4 6 5 8
264 7 9 4 4 5
265 2 2 3 5 10
266 5 2 6 5 9
267 4 3 9 5 9
268 1 1 1 5 10
269 2 1 9 1 7
270 7 2 3 5 8
271 6 9 4 3 5
272 1 4 1 4 5
273 9 3 2 1 10
274 5 9 6 5 7
275 7 5 9 1 6
276 6 9 5 1 10
277 2 2 6 4 7
278 3 5 4 3 8
279 7 4 1 2 5
280 2 5 6 5 5
281 7 2 1 4 8
282 7 9 3 5 8
283 9 6 6 1 6
284 6 6 3 3 5
285 7 5 4 1 9
286 5 2 2 3 9
287 8 3 7 1 10
288 5 2 8 4 9
289 1 4 7 4 7
290 5 9 4 5 5
291 4 1 1 3 8
292 8 7 1 1 10
293 8 3 6 5 6
294 2 7 2 5 9
295 5 1 3 2 7
296 5 2 4 5 6
297 8 4 7 3 8
298 9 1 4 5 8
299 5 1 6 5 9
300 7 4 8 1 8
301 7 2 2 3 9
302 5 1 3 3 8
303 2 1 5 5 10
304 8 2 2 3 8
305 3 9 6 2 10
306 3 3 4 5 10
307 5 9 3 3 10
308 7 4 7 2 8
309 8 5 6 1 8
310 6 7 1 1 5
311 4 2 9 2 10
312 5 1 5 5 7
313 9 5 3 1 5
314 2 6 2 4 6
315 1 1 6 2 6
316 6 7 2 5 8
317 3 6 1 1 10
318 4 9 9 5 5
319 5 2 4 2 8
320 8 3 1 4 5
321 5 8 3 2 10
322 9 1 1 2 6
323 7 8 5 5 5
324 6 6 3 4 8
325 3 9 1 5 5
326 9 6 6 1 6
327 8 6 1 4 5
328 6 1 6 4 8
329 1 1 4 2 10
330 3 4 9 5 6
331 8 5 7 4 6
332 7 8 2 4 10
333 2 3 1 1 9
334 2 8 9 4 7
335 3 9 5 4 8
336 9 5 5 1 9
337 3 6 7 1 9
338 8 5 1 1 6
339 2 4 4 4 9
340 6 4 3 3 10
341 9 5 6 3 8
342 1 3 1 4 10
343 9 6 5 2 8
344 1 8 6 4 10
345 4 2 3 1 8
346 9 5 3 2 6
347 6 9 6 4 10
348 1 2 6 4 10
349 2 4 7 3 7
350 1 4 5 4 6
351 9 4 2 4 7
352 9 2 5 3 8
353 1 3 2 2 8
354 2 5 2 5 5
355 7 1 1 3 10
356 9 7 6 3 10
357 3 2 2 4 10
358 8 6 3 3 6
359 7 5 5 4 9
360 4 8 8 4 6
361 1 3 2 1 8
362 4 9 9 3 6
363 4 9 2 1 8
364 8 6 5 3 8
365 8 3 6 4 9
366 9 6 8 1 8
367 8 8 9 2 10
368 4 9 4 2 8
369 6 1 2 5 9
370 3 3 1 1 6
371 9 3 7 3 6
372 6 4 4 2 7
373 4 4 1 5 9
374 6 2 9 2 7
375 7 4 9 5 6
376 4 6 1 2 9
377 2 2 1 4 8
378 4 8 6 3 6
379 3 3 9 2 6
380 2 2 2 3 7
381 1 5 2 3 7
382 9 2 9 4 8
383 2 2 1 2 10
384 7 6 2 1 9
385 4 9 7 2 8
386 2 6 8 3 8
387 6 7 3 3 8
388 3 5 3 5 10
389 3 6 7 4 9
390 3 9 2 5 7
391 2 7 9 3 6
392 1 8 1 3 8
393 3 7 8 3 10
394 9 8 7 3 7
395 2 5 7 4 5
396 2 2 5 4 5
397 8 5 3 2 9
398 1 1 6 2 5
399 2 9 1 3 7
400 5 3 4 1 8
401 7 5 9 1 9
402 3 9 3 3 6
403 8 2 3 3 9
404 6 1 8 2 8
405 6 4 4 2 8
406 3 7 6 3 10
407 5 2 4 4 10
408 1 8 8 2 9
409 6 6 4 4 9
410 4 4 3 3 9
411 2 6 1 1 9
412 6 7 7 2 6
413 9 6 4 1 9
414 6 2 3 5 8
415 8 2 9 3 10
416 4 5 5 1 9
417 2 8 1 3 6
418 7 1 4 3 8
419 3 9 6 4 7
420 6 8 7 2 5
421 9 4 6 3 10
422 4 1 5 4 5
423 3 1 9 3 9
424 3 7 4 5 7
425 8 3 9 2 8
426 8 9 9 3 9
427 8 2 4 3 8
428 9 7 8 1 9
429 1 9 4 5 8
430 5 4 7 4 5
431 6 5 3 1 10
432 5 2 8 4 10
433 6 4 7 1 6
434 8 6 9 4 9
435 3 7 7 3 9
436 4 1 3 2 7
437 5 2 1 3 10
438 7 7 8 5 8
439 2 6 3 2 5
440 5 1 5 2 8
441 1 9 3 3 7
442 1 4 5 5 8
443 3 7 6 3 9
444 5 9 3 4 8
445 5 4 1 2 10
446 5 4 8 3 8
447 4 1 2 2 6
448 5 1 3 1 6
449 8 8 3 4 10
450 1 2 3 5 8
451 7 5 4 2 5
452 1 7 3 1 9
453 1 9 3 1 8
454 6 2 4 3 7
455 3 5 5 2 7
456 3 5 2 2 6
457 6 4 4 4 5
458 5 5 9 1 7
459 3 5 5 1 6
460 7 8 6 3 10
461 7 6 8 4 9
462 3 9 1 3 7
463 9 6 3 2 10
464 7 6 3 1 7
465 9 1 3 3 6
466 6 6 9 4 5
467 6 1 5 1 6
468 1 5 6 1 7
469 1 2 5 1 7
470 7 4 1 4 5
471 1 8 9 2 10
472 8 4 2 1 7
473 8 9 4 4 10
474 2 1 7 3 7
475 4 1 1 2 7
476 6 5 9 3 8
477 5 2 5 1 8
478 6 8 1 1 8
479 1 2 2 2 10
480 6 6 6 4 8
481 6 1 2 4 5
482 9 5 4 4 5
483 4 6 5 4 5
484 2 6 5 1 10
485 5 9 1 5 5
486 6 7 2 3 5
487 8 4 3 1 5
488 1 2 2 4 10
489 5 7 7 1 8
490 2 8 8 4 8
491 9 4 9 2 9
492 5 7 7 1 8
493 9 5 6 2 6
494 2 7 5 4 8
495 8 9 3 4 5
496 1 1 1 3 6
497 4 1 4 2 7
498 9 3 1 4 7
499 7 1 3 4 6
500 7 8 7 5 10
501 7 8 9 3 9
502 8 9 2 2 9
503 4 3 1 2 10
504 9 4 9 5 9
505 9 9 6 3 8
506 5 9 6 5 7
507 3 1 9 5 5
508 2 4 3 2 7
509 2 1 8 5 7
510 8 8 2 1 9
511 1 1 5 3 10
512 7 4 9 3 5
513 6 3 6 4 8
514 4 1 5 2 6
515 9 4 5 4 9
516 9 8 3 2 6
517 1 7 2 5 10
518 4 7 8 2 10
519 4 6 3 2 5
520 3 5 2 2 10
521 7 4 8 4 9
522 2 4 7 3 5
523 2 6 1 2 6
524 6 5 6 4 8
525 2 3 1 2 6
526 6 5 4 4 6
527 7 9 3 1 6
528 3 2 1 5 6
529 7 3 9 5 5
530 8 4 6 4 10
531 7 3 1 2 9
532 3 1 6 1 5
533 4 4 8 4 7
534 9 6 1 4 7
535 8 2 6 3 10
536 3 8 3 3 5
537 1 8 6 4 7
538 5 5 8 4 5
539 8 4 5 3 10
540 6 7 7 2 9
541 6 3 4 4 6
542 8 6 1 1 5
543 8 3 2 3 7
544 7 9 2 1 6
545 3 2 2 4 7
546 5 1 4 4 5
547 9 4 2 5 6
548 3 1 1 2 7
549 6 3 6 3 10
550 1 7 2 2 6
551 3 9 6 5 5
552 3 9 6 2 8
553 1 2 3 5 8
554 8 2 5 3 10
555 7 3 6 3 5
556 3 6 7 1 8
557 9 7 4 4 6
558 8 3 1 4 9
559 1 4 2 2 7
560 2 7 5 2 6
561 6 6 2 2 5
562 7 4 7 1 6
563 9 5 3 1 9
564 9 8 7 2 8
565 3 9 6 3 10
566 6 1 3 5 5
567 2 8 7 5 7
568 1 3 9 4 8
569 7 7 1 3 10
570 1 4 5 3 9
571 9 4 9 4 6
572 5 9 9 2 9
573 4 2 4 4 10
574 4 8 1 5 8
575 5 5 2 5 7
576 7 3 2 4 10
577 6 9 1 3 10
578 5 6 5 3 5
579 9 7 7 5 10
580 5 1 1 4 10
581 2 7 8 4 7
582 5 3 9 5 7
583 4 1 7 4 8
584 8 8 1 2 5
585 3 9 7 2 5
586 7 5 8 2 7
587 8 3 7 1 8
588 5 2 1 2 7
589 1 9 1 1 8
590 2 2 9 4 9
591 5 4 5 3 7
592 6 3 9 2 10
593 8 7 1 3 6
594 8 9 2 1 5
595 9 1 8 2 6
596 2 1 3 3 6
597 2 6 3 3 9
598 2 3 3 3 5
599 9 5 2 1 8
600 4 1 1 2 9
601 5 9 1 3 9
602 7 8 8 1 6
603 8 9 4 2 8
604 6 5 5 5 7
605 5 3 4 4 8
606 5 7 9 3 9
607 7 8 1 4 8
608 1 5 3 3 7
609 4 6 5 1 6
610 7 6 3 2 5
611 2 4 3 1 5
612 9 9 6 2 7
613 3 2 4 3 7
614 8 5 5 4 8
615 3 1 7 3 6
616 5 2 1 2 9
617 2 8 2 4 7
618 1 9 2 5 10
619 3 2 8 2 8
620 9 1 5 2 7
621 6 4 6 4 10
622 2 4 3 4 9
623 5 8 8 2 10
624 1 9 6 4 7
625 9 1 9 2 6
626 7 4 7 5 7
627 8 4 3 3 8
628 9 5 9 2 6
629 7 5 3 2 6
630 1 2 7 4 5
631 6 7 1 3 8
632 2 3 9 3 5
633 8 5 5 3 8
634 7 5 6 4 7
635 2 7 8 1 5
636 6 2 9 1 5
637 8 4 1 4 6
638 5 2 4 4 10
639 1 1 8 2 10
640 4 7 3 3 9
641 7 1 4 2 7
642 1 2 6 5 7
643 4 2 3 4 7
644 5 4 3 3 8
645 5 6 4 4 5
646 3 9 9 4 5
647 7 3 9 5 6
648 7 7 5 2 6
649 8 4 3 2 7
650 4 5 5 2 5
651 7 3 2 2 7
652 8 1 1 5 10
653 1 6 1 4 5
654 2 2 8 3 7
655 5 2 3 4 9
656 3 9 8 3 8
657 8 8 7 5 6
658 3 7 5 2 8
659 7 9 8 5 7
660 8 1 4 1 10
661 2 8 1 1 9
662 4 3 4 4 6
663 5 8 4 4 10
664 9 4 5 1 10
665 5 7 2 4 8
666 2 3 9 5 7
667 3 7 1 3 7
668 6 8 2 3 5
669 5 6 9 1 8
670 8 3 2 1 9
671 6 4 1 3 7
672 5 9 6 2 10
673 9 4 8 4 10
674 1 3 2 3 10
675 7 3 6 3 10
676 9 8 2 5 7
677 1 7 7 3 6
678 8 6 6 5 10
679 1 2 8 4 7
680 2 5 4 3 8
681 5 3 3 4 7
682 6 8 7 5 9
683 5 7 4 4 6
684 7 9 1 5 9
685 6 8 8 5 6
686 6 8 8 1 5
687 4 7 1 3 8
688 6 6 4 5 9
689 1 9 4 5 10
690 7 5 5 5 7
691 7 4 9 1 5
692 1 5 3 1 6
693 5 9 9 5 5
694 2 4 5 3 5
695 3 4 6 2 7
696 6 9 1 4 5
697 6 6 7 2 7
698 9 4 7 3 10
699 2 9 5 2 8
700 4 4 6 3 10
701 2 1 3 3 7
702 6 1 2 5 9
703 7 2 8 5 10
704 2 6 5 1 5
705 5 7 6 2 10
706 4 7 4 2 9
707 2 9 7 2 10
708 3 8 5 4 8
709 8 7 6 4 9
710 1 2 4 4 5
711 5 9 2 1 5
712 9 6 1 4 8
713 8 5 8 4 6
714 5 9 9 3 7
715 3 2 4 1 7
716 9 3 5 4 8
717 2 6 3 4 7
718 3 6 3 2 6
719 6 7 5 1 10
720 6 7 4 2 5
721 5 6 4 3 6
722 3 8 7 1 5
723 5 9 1 1 10
724 3 8 3 2 7
725 1 6 4 2 7
726 7 2 4 5 7
727 8 4 7 1 10
728 1 8 5 2 9
729 4 3 8 4 9
730 7 9 8 2 5
731 1 2 3 5 6
732 9 5 9 4 6
733 5 7 2 5 6
734 8 1 6 4 10
735 3 9 9 4 5
736 3 6 9 4 5
737 3 4 9 4 5
738 8 4 6 1 6
739 3 6 4 1 8
740 1 4 5 1 8
741 1 3 8 3 8
742 8 5 7 2 6
743 6 1 3 4 5
744 4 5 2 3 8
745 3 5 6 2 6
746 6 6 3 1 7
747 4 1 9 5 8
748 7 5 7 3 7
749 7 5 1 4 7
750 7 4 4 5 10
751 8 6 2 1 9
752 4 5 7 3 5
753 7 9 4 5 5
754 3 6 9 3 9
755 6 7 8 2 8
756 2 7 5 1 8
757 3 8 9 1 9
758 4 3 3 1 6
759 6 5 7 3 8
760 3 5 7 3 9
761 8 2 6 3 10
762 9 3 8 2 7
763 4 6 1 3 9
764 2 2 5 5 5
765 4 3 1 1 7
766 8 8 8 3 8
767 9 6 9 5 6
768 9 7 1 3 6
769 4 7 7 3 9
770 3 1 1 1 8
771 9 8 2 5 8
772 1 6 8 1 10
773 3 5 3 1 7
774 9 8 3 1 8
775 8 5 7 1 7
776 7 4 7 5 10
777 5 3 2 2 5
778 1 7 8 4 10
779 2 9 9 5 7
780 2 8 5 3 10
781 2 1 4 1 10
782 3 7 9 1 9
783 1 9 7 3 10
784 1 9 4 4 8
785 6 3 9 1 7
786 3 8 5 5 7
787 4 3 4 4 9
788 2 2 3 3 9
789 1 1 6 5 9
790 5 5 5 4 8
791 9 4 8 2 8
792 5 4 2 5 6
793 7 7 3 3 8
794 7 4 6 3 6
795 1 3 1 1 9
796 5 3 9 1 5
797 2 3 2 2 8
798 4 1 5 3 5
799 2 6 7 2 8
800 4 1 3 3 8
801 8 3 4 5 6
802 2 7 6 4 10
803 9 9 2 5 7
804 3 6 6 5 8
805 1 9 4 5 7
806 3 2 7 4 8
807 3 9 6 2 10
808 9 6 3 5 5
809 4 5 8 2 8
810 4 5 3 1 6
811 7 3 7 3 6
812 7 6 4 2 5
813 1 7 5 1 7
814 9 9 3 5 6
815 7 6 9 3 6
816 5 8 3 5 5
817 9 4 5 3 9
818 2 4 7 4 6
819 5 2 3 4 5
820 3 9 5 1 7
821 8 3 5 3 7
822 7 6 8 1 5
823 4 9 8 1 10
824 9 9 4 3 8
825 6 5 2 5 5
826 8 2 9 4 5
827 4 9 6 2 6
828 5 5 3 4 10
829 7 6 8 3 10
830 1 1 3 3 6
831 4 2 5 2 5
832 4 6 2 3 10
833 6 4 8 4 7
834 5 8 3 3 8
835 1 2 2 4 9
836 4 1 2 1 7
837 2 9 1 1 7
838 5 2 2 1 6
839 9 2 4 1 7
840 6 9 4 1 6
841 8 6 3 3 5
842 4 7 9 5 10
843 5 1 8 1 7
844 1 8 5 3 6
845 2 2 7 4 5
846 6 4 6 5 9
847 1 8 7 4 8
848 5 1 8 2 5
849 6 1 3 2 5
850 7 2 7 3 7
851 2 2 6 5 7
852 3 2 7 5 8
853 6 4 8 3 7
854 3 4 7 3 10
855 3 5 7 1 9
856 2 9 4 5 8
857 7 3 5 1 7
858 7 6 3 4 7
859 3 9 2 5 6
860 6 2 8 1 6
861 2 2 5 4 10
862 2 3 1 1 7
863 8 1 5 5 10
864 9 2 6 5 10
865 6 7 8 5 10
866 8 3 6 1 7
867 5 7 2 5 10
868 1 5 3 2 8
869 1 4 3 3 9
870 1 7 1 4 6
871 2 6 8 4 5
872 1 2 8 1 5
873 2 5 8 4 7
874 8 1 3 3 7
875 5 4 4 1 5
876 3 2 3 3 5
877 3 2 6 5 6
878 4 1 8 5 10
879 5 2 6 5 7
880 2 4 3 3 5
881 6 7 1 2 7
882 3 8 9 3 10
883 7 8 5 2 9
884 6 8 3 5 9
885 4 7 9 2 7
886 6 4 4 3 8
887 9 6 5 1 9
888 3 4 3 3 5
889 4 6 4 5 5
890 2 7 7 4 10
891 5 7 4 5 5
892 9 8 2 1 7
893 4 5 3 4 10
894 6 9 6 2 10
895 6 7 5 4 7
896 3 2 4 4 5
897 6 1 3 2 7
898 3 3 6 2 10
899 8 4 5 5 7
900 1 8 7 5 9
901 6 8 2 3 9
902 4 8 6 5 8
903 2 3 2 1 5
904 4 1 9 5 8
905 3 2 4 3 6
906 6 6 3 1 10
907 7 4 9 4 8
908 9 5 2 1 7
909 5 3 5 5 5
910 4 6 4 5 10
911 1 1 6 4 6
912 9 6 8 4 5
913 7 8 7 2 10
914 5 4 8 2 6
915 4 5 4 2 6
916 7 3 4 5 6
917 6 2 2 5 6
918 7 8 3 1 10
919 6 8 5 1 5
920 4 4 1 5 9
921 4 3 3 1 6
922 7 4 6 1 9
923 6 1 9 1 8
924 6 7 9 4 8
925 2 2 1 4 7
926 7 7 8 3 10
927 5 2 1 2 7
928 6 1 1 2 6
929 4 6 7 1 10
930 3 2 7 3 9
931 6 7 5 4 10
932 6 1 2 5 9
933 7 3 7 3 9
934 8 8 7 4 6
935 8 1 7 5 5
936 9 6 3 3 5
937 1 7 8 5 6
938 1 7 3 4 8
939 7 2 4 5 7
940 9 1 1 3 10
941 4 2 3 1 6
942 1 4 9 1 5
943 5 2 3 1 8
944 6 3 9 2 10
945 8 8 1 4 7
946 8 5 8 1 10
947 6 7 3 2 10
948 5 1 2 2 6
949 8 1 4 1 9
950 1 1 8 5 8
951 2 2 4 5 7
952 4 8 9 4 6
953 8 2 7 3 5
954 1 3 6 1 5
955 5 6 7 1 6
956 3 7 7 5 5
957 1 7 7 2 8
958 6 7 3 3 7
959 8 7 8 1 8
960 9 6 3 1 7
961 8 6 2 3 7
962 3 1 4 5 7
963 7 7 6 2 6
964 6 6 1 5 9
965 2 9 7 5 7
966 1 1 9 1 5
967 7 9 2 3 7
968 3 6 1 2 7
969 3 6 1 1 10
970 3 1 1 2 9
971 2 8 4 2 6
972 2 7 8 5 6
973 1 7 8 1 5
974 2 1 5 1 5
975 1 2 5 3 7
976 5 4 4 5 9
977 3 5 4 2 6
978 8 2 4 2 7
979 4 1 6 5 10
980 1 9 7 3 8
981 7 3 9 1 10
982 9 7 3 2 10
983 3 2 4 5 8
984 8 5 4 2 7
985 9 4 8 4 9
986 1 8 6 3 8
987 6 2 7 2 7
988 2 7 7 5 6
989 9 7 6 2 7
990 4 2 9 5 7
991 5 3 9 3 7
992 6 6 2 4 9
993 6 1 5 3 10
994 9 4 3 4 5
995 2 5 5 1 8
996 5 5 8 3 7
997 9 1 1 4 9
998 9 2 4 2 5
999 6 7 1 5 8
1000 3 8 4 3 7
1001 5 8 9 1 7
1002 3 4 2 5 9
1003 8 1 4 1 7
1004 4 2 2 2 7
1005 4 7 2 1 5
1006 4 2 8 5 8
1007 7 9 3 5 9
1008 8 6 9 2 5
1009 3 3 4 3 7
1010 1 4 9 1 7
1011 4 9 8 2 6
1012 7 2 4 3 10
1013 5 4 9 2 5
1014 6 8 5 5 10
1015 9 2 7 3 9
1016 4 4 6 3 6
1017 3 4 2 3 5
1018 9 2 7 4 7
1019 1 7 4 3 10
1020 1 4 9 2 8
1021 6 1 7 1 8
1022 7 6 9 1 7
1023 1 5 6 1 5
1024 1 6 2 2 5
1025 9 3 3 5 6
1026 8 8 1 3 9
1027 7 3 1 3 6
1028 2 5 8 1 7
1029 7 3 5 5 6
1030 7 7 3 4 6
1031 4 9 2 3 6
1032 2 4 2 3 7
1033 7 9 5 1 9
1034 6 2 4 1 5
1035 7 7 2 1 9
1036 5 6 8 2 9
1037 1 5 1 2 5
1038 9 2 9 5 7
1039 5 9 5 4 7
1040 4 2 4 4 7
1041 9 9 4 1 5
1042 1 9 7 1 5
1043 5 5 8 1 6
1044 6 8 9 4 6
1045 9 5 3 1 8
1046 6 5 5 1 10
1047 6 8 6 2 9
1048 3 9 2 4 10
1049 9 5 8 4 9
1050 8 2 5 3 7
1051 5 5 5 5 7
1052 5 6 8 1 9
1053 5 6 1 5 8
1054 8 4 1 5 5
1055 8 4 8 5 7
1056 8 9 3 2 10
1057 7 4 9 1 9
1058 1 5 7 2 10
1059 6 5 8 3 7
1060 2 3 8 4 7
1061 9 7 8 5 5
1062 1 4 9 2 5
1063 3 7 2 5 9
1064 8 8 9 4 9
1065 4 8 6 3 10
1066 4 2 9 4 9
1067 7 7 2 5 8
1068 5 1 3 2 5
1069 5 5 3 2 8
1070 9 5 8 2 9
1071 9 7 7 5 5
1072 6 1 1 3 7
1073 7 6 3 5 10
1074 4 8 5 1 8
1075 6 1 9 3 10
1076 5 2 5 3 7
1077 9 9 5 5 7
1078 9 4 3 1 9
1079 7 9 7 2 9
1080 8 6 9 4 10
1081 3 5 4 3 10
1082 9 2 4 2 6
1083 4 6 8 4 7
1084 2 5 7 2 6
1085 7 1 2 5 10
1086 7 5 8 1 5
1087 3 6 7 5 6
1088 2 2 1 5 5
1089 7 7 2 2 7
1090 3 6 4 4 7
1091 4 5 1 3 10
1092 6 7 4 3 5
1093 6 6 4 1 6
1094 9 5 5 2 8
1095 7 8 9 4 10
1096 7 6 5 5 7
1097 2 6 2 1 9
1098 6 3 4 2 7
1099 4 5 6 3 9
1100 9 9 6 5 7
1101 4 4 6 4 6
1102 5 9 5 5 5
1103 2 8 1 1 5
1104 4 7 1 4 6
1105 8 2 1 3 9
1106 2 3 6 2 6
1107 9 7 2 3 6
1108 8 4 4 2 7
1109 2 1 5 2 8
1110 2 4 3 2 6
1111 9 6 1 2 8
1112 6 6 4 1 7
1113 8 6 3 1 10
1114 9 7 8 3 7
1115 7 1 9 4 8
1116 1 1 7 5 6
1117 2 1 8 3 6
1118 7 9 8 2 8
1119 5 9 6 2 7
1120 4 7 8 5 5
1121 5 1 3 2 6
1122 6 1 9 4 9
1123 2 6 2 1 9
1124 2 7 1 3 6
1125 2 4 6 4 9
1126 5 6 1 2 10
1127 4 5 2 2 5
1128 8 6 2 2 6
1129 4 7 5 5 10
1130 5 6 5 3 5
1131 3 9 7 4 7
1132 2 2 2 1 9
1133 8 5 7 4 5
1134 1 9 3 3 9
1135 4 2 5 4 8
1136 5 1 4 1 7
1137 1 4 7 3 6
1138 1 1 8 2 8
1139 8 5 7 5 10
1140 7 3 5 1 10
1141 2 8 9 2 6
1142 5 6 5 3 10
1143 8 3 7 1 7
1144 3 1 9 2 5
1145 6 7 1 2 5
1146 1 3 5 2 9
1147 2 5 8 2 5
1148 3 5 1 1 5
1149 4 6 3 3 5
